gerolf_of_holland;hasspouse;no;123;1
joan_of_france_duchess_of_berry;gender;female;398;1
eleanor_of_lancaster;child;alice_holland_countess_of_kent;1;1
leopold_ii_holy_roman_emperor;parent;francis_i_holy_roman_emperor;1;1
henry_i_duke_of_brabant;spouse;marie_of_france_duchess_of_brabant;1606;1536
francis_ii_duke_of_brittany;successor;anne_of_brittany;1;1
stephen_iii_duke_of_bavaria;parent;stephen_ii_duke_of_bavaria;1;1
adolphus_frederick_iii_duke_of_mecklenburg_strelitz;predecessor;adolphus_frederick_ii_duke_of_mecklenburg_strelitz;2;1
george_i_of_great_britain;father;ernest_augustus_elector_of_hanover;1;1
frederick_ii_duke_of_lorraine;parent;frederick_i_duke_of_lorraine;1;1
charlotte_of_bourbon_queen_of_cyprus;child;john_ii_of_cyprus;1572;2121
albert_ii_duke_of_austria;father;albert_i_of_germany;1;1
blanche_of_navarre_queen_of_france;name;blanche_of_navarre;1874;2561
ferdinand_i_holy_roman_emperor;child;archduchess_magdalena_of_austria;95;1780
james_iii_of_scotland;child;james_stewart_duke_of_ross;626;2273
maria_beatrice_d_este_duchess_of_massa;parent;ercole_iii_d_este_duke_of_modena;4;4
beatrice_of_albon;hasspouse;yes;167;2
carlo_buonaparte;spouse;letizia_bonaparte;1;1
adelaide_of_leuven;spouse;simon_i_duke_of_lorraine;1;1
yolande_of_aragon;gender;female;6;1
henri_count_of_chambord;name;prince_henri;783;2555
bertha_of_holland;father;floris_i_count_of_holland;1;1
berthold_duke_of_merania;father;berthold_i_of_istria;1;2
otto_i_duke_of_brunswic_l_neburg;parent;helena_of_denmark;1;1
ferdinand_ii_of_le_n;father;alfonso_vii_of_le_n_and_castile;1;1
hamelin_de_warenne_earl_of_surrey;hasspouse;no;215;1
louis_xvii;predecessor;louis_xvi;1;1
maria_theresa;child;archduchess_maria_josepha_of_austria;1;1
francesco_i_de_medici_grand_duke_of_tuscany;parent;cosimo_i_de_medici_grand_duke_of_tuscany;1;1
henry_i_duke_of_brabant;parent;godfrey_iii_count_of_louvain;1;1
dorotea_gonzaga;spouse;galeazzo_maria_sforza;1;1
stephen_iii_of_auxonne;name;stephen_iii;764;2573
camilla_martelli;spouse;cosimo_i_de_medici_grand_duke_of_tuscany;1;1
adelaide_of_aquitaine;parent;gerloc;1;1
afonso_iii_of_portugal;predecessor;sancho_ii_of_portugal;1;1
agnes_of_burgundy_duchess_of_bourbon;predecessor;marie_duchess_of_auvergne;1;1
ernest_i_duke_of_brunswic_l_neburg;mother;margaret_of_saxony_duchess_of_brunswic_l_neburg;1;2
victoire_of_france_1733_1799;hasspouse;no;213;1
christian_duke_of_brunswic_l_neburg;hasspouse;no;210;1
benedicta_henrietta_of_the_palatinate;father;edward_count_palatine_of_simmern;1;1
charles_vi_holy_roman_emperor;successor;victor_amadeus_ii_of_sardinia;1;1
christine_of_hesse;mother;christine_of_saxony;1;1
philip_iii_of_france;parent;louis_ix_of_france;1;1
isabella_of_portugal_duchess_of_burgundy;spouse;philip_the_good;1;1
magnus_i_duke_of_brunswic_l_neburg;gender;male;133;1
mary_of_avesnes;gender;female;15;1
mary_queen_of_scots;predecessor;james_v_of_scotland;1;1
ferdinand_philippe_duke_of_orl_ans;father;louis_philippe_i;1;1
matilda_of_frisia;father;liudolf_margrave_of_frisia;1;1
louis_ix_of_france;parent;louis_viii_of_france;1;1
maria_luisa_of_parma;gender;female;10;1
antoinette_of_bourbon;child;claude_duke_of_aumale;140;1785
charles_v_holy_roman_emperor;gender;male;1;1
berengaria_of_castile;successor;ferdinand_iii_of_castile;1;1
boso_ii_of_italy;hasspouse;no;72;2
valdemar_i_of_denmark;parent;ingeborg_of_kiev;25;472
maria_kunigunde_of_saxony;hasspouse;no;1384;1
elizabeth_of_bohemia_1292_1330;child;anne_of_bohemia_duchess_of_austria;2;2
otto_iv_count_of_burgundy;hasspouse;yes;6;1
joan_countess_of_ponthieu;hasspouse;yes;1;1
james_i_of_scotland;child;annabella_of_scotland;111;1542
amadeus_vii_count_of_savoy;hasspouse;no;120;1
philip_ii_duke_of_savoy;sibling;bona_of_savoy;1;1
constant_d_aubign_;hasspouse;no;124;2
elisabeth_of_nuremberg;parent;frederick_v_burgrave_of_nuremberg;1;1
pepin_the_short;parent;charles_martel;1;1
albert_azzo_ii_margrave_of_milan;father;albert_azzo_i_margrave_of_milan;1;1
francis_i_duke_of_lorraine;gender;male;71;1
fulk_king_of_jerusalem;hasspouse;yes;1;1
thierry_count_of_flanders;gender;male;56;1
saint_margaret_of_scotland;child;ethelred_of_scotland;8;469
philip_iii_of_spain;child;infante_carlos_of_spain_1607_1632;1;1
odo_i_count_of_orl_ans;gender;male;71;1
saint_margaret_of_scotland;child;matilda_of_scotland;2;1
antoine_of_navarre;child;catherine_de_bourbon;1;3
adela_of_champagne;parent;matilda_of_carinthia;1;1
philip_iii_of_spain;parent;philip_ii_of_spain;1;1
emmanuel_philibert_duke_of_savoy;name;emmanuel_philibert;579;2500
barbara_jagiellon;gender;female;90;1
marie_countess_of_harcourt;gender;female;209;1
francis_i_holy_roman_emperor;predecessor;maria_theresa;16;5
otto_i_count_palatine_of_mosbach;hasspouse;no;195;1
countess_sophia_albertine_of_erbach_erbach;name;sophia_albertine_countess_of_erbach_erbach;451;2246
werner_ii_count_of_habsburg;name;werner_ii_count_of_habsburg;1;1
carloman_ii;hasspouse;no;32;2
charles_iii_of_spain;hasspouse;yes;1;1
edward_king_of_portugal;child;joan_of_portugal;1;1
eleanor_of_aquitaine;father;william_x_duke_of_aquitaine;1;1
mar_a_isabella_of_spain;gender;female;1;1
baldwin_v_count_of_flanders;child;robert_i_count_of_flanders;252;1484
hemma;father;welf_father_of_judith;1;1
william_ii_duke_of_bavaria;hasspouse;no;162;1
victor_amadeus_iii_of_sardinia;child;prince_giuseppe_count_of_asti;1;1
