s transe;p transe;o transe;head rank transe;tail rank transe;s conve;p conve;o conve;head rank conve;tail rank conve;s complex;p complex;o complex;head rank complex;tail rank complex
marie_eleonore_of_cleves;child;magdalene_sibylle_of_prussia;271;20;marie_eleonore_of_cleves;child;magdalene_sibylle_of_prussia;2;2;marie_eleonore_of_cleves;child;magdalene_sibylle_of_prussia;2;1
elizabeth_of_bohemia_1292_1330;child;anne_of_bohemia_duchess_of_austria;115;48;elizabeth_of_bohemia_1292_1330;child;anne_of_bohemia_duchess_of_austria;9;11;elizabeth_of_bohemia_1292_1330;child;anne_of_bohemia_duchess_of_austria;2;2
marie_antoinette;child;louis_xvii;162;50;marie_antoinette;child;louis_xvii;1;1;marie_antoinette;child;louis_xvii;1;1
adelaide_of_paris;child;charles_the_simple;616;53;adelaide_of_paris;child;charles_the_simple;2;2;adelaide_of_paris;child;charles_the_simple;1;1
robert_ii_of_france;child;hugh_magnus;29;62;robert_ii_of_france;child;hugh_magnus;1;1;robert_ii_of_france;child;hugh_magnus;1;1
bonne_of_luxembourg;child;philip_the_bold;22;94;bonne_of_luxembourg;child;philip_the_bold;2;3;bonne_of_luxembourg;child;philip_the_bold;1;1
clementia_of_hungary;child;john_i_of_france;174;99;clementia_of_hungary;child;john_i_of_france;4;3;clementia_of_hungary;child;john_i_of_france;2;1
maximilian_ii_holy_roman_emperor;child;anna_of_austria_queen_of_spain;58;116;maximilian_ii_holy_roman_emperor;child;anna_of_austria_queen_of_spain;4;18;maximilian_ii_holy_roman_emperor;child;anna_of_austria_queen_of_spain;1;1
elizabeth_of_york;child;margaret_tudor;259;124;elizabeth_of_york;child;margaret_tudor;16;35;elizabeth_of_york;child;margaret_tudor;3;2
louis_the_stammerer;child;louis_iii_of_france;190;138;louis_the_stammerer;child;louis_iii_of_france;1;2;louis_the_stammerer;child;louis_iii_of_france;1;1
beatrice_of_silesia;child;matilda_of_bavaria_margravine_of_meissen;227;140;beatrice_of_silesia;child;matilda_of_bavaria_margravine_of_meissen;2;1;beatrice_of_silesia;child;matilda_of_bavaria_margravine_of_meissen;1;1
ermentrude_of_orl_ans;child;louis_the_stammerer;368;147;ermentrude_of_orl_ans;child;louis_the_stammerer;1;1;ermentrude_of_orl_ans;child;louis_the_stammerer;1;1
floris_i_count_of_holland;child;dirk_v_count_of_holland;146;168;floris_i_count_of_holland;child;dirk_v_count_of_holland;1;2;floris_i_count_of_holland;child;dirk_v_count_of_holland;1;1
marie_de_medici;child;gaston_duke_of_orl_ans;164;172;marie_de_medici;child;gaston_duke_of_orl_ans;8;4;marie_de_medici;child;gaston_duke_of_orl_ans;1;1
anne_of_bohemia_and_hungary;child;archduchess_anna_of_austria;35;190;anne_of_bohemia_and_hungary;child;archduchess_anna_of_austria;2;1;anne_of_bohemia_and_hungary;child;archduchess_anna_of_austria;1;1
eleanor_of_aquitaine;child;richard_i_of_england;19;205;eleanor_of_aquitaine;child;richard_i_of_england;2;10;eleanor_of_aquitaine;child;richard_i_of_england;1;1
joanna_of_bourbon;child;catherine_of_france_countess_of_montpensier;628;213;joanna_of_bourbon;child;catherine_of_france_countess_of_montpensier;2;7;joanna_of_bourbon;child;catherine_of_france_countess_of_montpensier;3;3
edward_the_elder;child;eadgyth;129;223;edward_the_elder;child;eadgyth;1;1;edward_the_elder;child;eadgyth;1;1
bonne_of_luxembourg;child;john_duke_of_berry;80;230;bonne_of_luxembourg;child;john_duke_of_berry;1;4;bonne_of_luxembourg;child;john_duke_of_berry;1;1
james_v_of_scotland;child;mary_queen_of_scots;436;251;james_v_of_scotland;child;mary_queen_of_scots;1;3;james_v_of_scotland;child;mary_queen_of_scots;1;1
frederick_iii_duke_of_lorraine;child;theobald_ii_duke_of_lorraine;96;296;frederick_iii_duke_of_lorraine;child;theobald_ii_duke_of_lorraine;2;3;frederick_iii_duke_of_lorraine;child;theobald_ii_duke_of_lorraine;1;1
louis_the_german;child;carloman_of_bavaria;337;297;louis_the_german;child;carloman_of_bavaria;1;2;louis_the_german;child;carloman_of_bavaria;1;1
valdemar_i_of_denmark;child;canute_vi_of_denmark;33;319;valdemar_i_of_denmark;child;canute_vi_of_denmark;1;5;valdemar_i_of_denmark;child;canute_vi_of_denmark;1;1
maria_beatrice_d_este_duchess_of_massa;child;maria_theresa_of_austria_este_queen_of_sardinia;150;329;maria_beatrice_d_este_duchess_of_massa;child;maria_theresa_of_austria_este_queen_of_sardinia;1;1;maria_beatrice_d_este_duchess_of_massa;child;maria_theresa_of_austria_este_queen_of_sardinia;1;1
louis_vi_of_france;child;henry_of_france_archbishop_of_reims;21;332;louis_vi_of_france;child;henry_of_france_archbishop_of_reims;1;1;louis_vi_of_france;child;henry_of_france_archbishop_of_reims;1;1
henry_count_of_portugal;child;afonso_i_of_portugal;224;336;henry_count_of_portugal;child;afonso_i_of_portugal;3;1;henry_count_of_portugal;child;afonso_i_of_portugal;1;1
joanna_of_castile;child;catherine_of_austria_queen_of_portugal;683;344;joanna_of_castile;child;catherine_of_austria_queen_of_portugal;2;7;joanna_of_castile;child;catherine_of_austria_queen_of_portugal;1;1
anne_of_bohemia_and_hungary;child;joanna_of_austria_grand_duchess_of_tuscany;49;354;anne_of_bohemia_and_hungary;child;joanna_of_austria_grand_duchess_of_tuscany;2;5;anne_of_bohemia_and_hungary;child;joanna_of_austria_grand_duchess_of_tuscany;1;1
robert_ii_count_of_dreux;child;robert_iii_count_of_dreux;55;359;robert_ii_count_of_dreux;child;robert_iii_count_of_dreux;2;2;robert_ii_count_of_dreux;child;robert_iii_count_of_dreux;1;1
alfonso_viii_of_castile;child;eleanor_of_castile_died_1244;685;372;alfonso_viii_of_castile;child;eleanor_of_castile_died_1244;6;33;alfonso_viii_of_castile;child;eleanor_of_castile_died_1244;1;1
eleanor_of_england_queen_of_castile;child;urraca_of_castile_queen_of_portugal;23;377;eleanor_of_england_queen_of_castile;child;urraca_of_castile_queen_of_portugal;28;92;eleanor_of_england_queen_of_castile;child;urraca_of_castile_queen_of_portugal;3;7
joanna_of_austria_grand_duchess_of_tuscany;child;marie_de_medici;50;381;joanna_of_austria_grand_duchess_of_tuscany;child;marie_de_medici;3;1;joanna_of_austria_grand_duchess_of_tuscany;child;marie_de_medici;1;1
edward_king_of_portugal;child;eleanor_of_portugal_holy_roman_empress;11;386;edward_king_of_portugal;child;eleanor_of_portugal_holy_roman_empress;1;1;edward_king_of_portugal;child;eleanor_of_portugal_holy_roman_empress;1;1
henry_vii_of_england;child;henry_viii;134;388;henry_vii_of_england;child;henry_viii;1;1;henry_vii_of_england;child;henry_viii;1;1
rudolf_i_of_germany;child;matilda_of_habsburg;57;391;rudolf_i_of_germany;child;matilda_of_habsburg;3;7;rudolf_i_of_germany;child;matilda_of_habsburg;1;2
leopold_ii_holy_roman_emperor;child;archduchess_maria_clementina_of_austria;18;393;leopold_ii_holy_roman_emperor;child;archduchess_maria_clementina_of_austria;1;2;leopold_ii_holy_roman_emperor;child;archduchess_maria_clementina_of_austria;1;1
joanna_of_austria_grand_duchess_of_tuscany;child;eleanor_de_medici;320;406;joanna_of_austria_grand_duchess_of_tuscany;child;eleanor_de_medici;3;12;joanna_of_austria_grand_duchess_of_tuscany;child;eleanor_de_medici;1;1
prince_philippe_count_of_paris;child;am_lie_of_orl_ans;134;435;prince_philippe_count_of_paris;child;am_lie_of_orl_ans;1;9;prince_philippe_count_of_paris;child;am_lie_of_orl_ans;1;1
berengar_ii_of_italy;child;rozala_of_italy;130;441;berengar_ii_of_italy;child;rozala_of_italy;4;7;berengar_ii_of_italy;child;rozala_of_italy;1;1
ferdinand_philippe_duke_of_orl_ans;child;prince_philippe_count_of_paris;289;446;ferdinand_philippe_duke_of_orl_ans;child;prince_philippe_count_of_paris;1;1;ferdinand_philippe_duke_of_orl_ans;child;prince_philippe_count_of_paris;1;1
maria_luisa_of_spain;child;archduchess_maria_amalia_of_austria_1780_1798;33;488;maria_luisa_of_spain;child;archduchess_maria_amalia_of_austria_1780_1798;1;2;maria_luisa_of_spain;child;archduchess_maria_amalia_of_austria_1780_1798;1;1
anne_of_foix_candale;child;louis_ii_of_hungary;406;491;anne_of_foix_candale;child;louis_ii_of_hungary;38;509;anne_of_foix_candale;child;louis_ii_of_hungary;198;270
eleanor_of_lancaster;child;alice_holland_countess_of_kent;196;514;eleanor_of_lancaster;child;alice_holland_countess_of_kent;1;2;eleanor_of_lancaster;child;alice_holland_countess_of_kent;1;1
john_iv_duke_of_brittany;child;richard_count_of__tampes;87;522;john_iv_duke_of_brittany;child;richard_count_of__tampes;1;2;john_iv_duke_of_brittany;child;richard_count_of__tampes;1;1
hortense_de_beauharnais;child;napol_on_charles_bonaparte;93;525;hortense_de_beauharnais;child;napol_on_charles_bonaparte;1;3;hortense_de_beauharnais;child;napol_on_charles_bonaparte;1;1
catherine_de_medici;child;louis_of_valois;6;566;catherine_de_medici;child;louis_of_valois;1;3;catherine_de_medici;child;louis_of_valois;1;1
eleanor_of_alburquerque;child;john_ii_of_aragon;190;569;eleanor_of_alburquerque;child;john_ii_of_aragon;11;15;eleanor_of_alburquerque;child;john_ii_of_aragon;1;1
maria_of_aragon_queen_of_portugal;child;henry_king_of_portugal;323;580;maria_of_aragon_queen_of_portugal;child;henry_king_of_portugal;437;814;maria_of_aragon_queen_of_portugal;child;henry_king_of_portugal;115;1432
fran_oise_marie_de_bourbon;child;louis_duke_of_orl_ans_1703_1752;129;595;fran_oise_marie_de_bourbon;child;louis_duke_of_orl_ans_1703_1752;1;2;fran_oise_marie_de_bourbon;child;louis_duke_of_orl_ans_1703_1752;1;1
john_the_fearless;child;margaret_of_nevers;140;601;john_the_fearless;child;margaret_of_nevers;1;2;john_the_fearless;child;margaret_of_nevers;1;1
louis_iv_holy_roman_emperor;child;stephen_ii_duke_of_bavaria;73;632;louis_iv_holy_roman_emperor;child;stephen_ii_duke_of_bavaria;1;1;louis_iv_holy_roman_emperor;child;stephen_ii_duke_of_bavaria;1;1
isabella_i_of_castile;child;joanna_of_castile;308;634;isabella_i_of_castile;child;joanna_of_castile;2;2;isabella_i_of_castile;child;joanna_of_castile;1;1
sophia_of_minsk;child;canute_vi_of_denmark;46;635;sophia_of_minsk;child;canute_vi_of_denmark;1;61;sophia_of_minsk;child;canute_vi_of_denmark;1;1
agnes_of_merania;child;philip_i_count_of_boulogne;294;647;agnes_of_merania;child;philip_i_count_of_boulogne;73;34;agnes_of_merania;child;philip_i_count_of_boulogne;2;1
louis_i_duke_of_bourbon;child;peter_i_duke_of_bourbon;151;661;louis_i_duke_of_bourbon;child;peter_i_duke_of_bourbon;1;2;louis_i_duke_of_bourbon;child;peter_i_duke_of_bourbon;1;1
yaroslav_the_wise;child;anne_of_kiev;78;675;yaroslav_the_wise;child;anne_of_kiev;1;1;yaroslav_the_wise;child;anne_of_kiev;1;1
elisabeth_farnese;child;maria_teresa_rafaela_of_spain;117;681;elisabeth_farnese;child;maria_teresa_rafaela_of_spain;98;1693;elisabeth_farnese;child;maria_teresa_rafaela_of_spain;148;1039
marie_de_medici;child;elisabeth_of_france_1602_1644;82;684;marie_de_medici;child;elisabeth_of_france_1602_1644;1;1;marie_de_medici;child;elisabeth_of_france_1602_1644;1;1
joan_ii_of_navarre;child;blanche_of_navarre_queen_of_france;169;689;joan_ii_of_navarre;child;blanche_of_navarre_queen_of_france;1;1;joan_ii_of_navarre;child;blanche_of_navarre_queen_of_france;1;1
louis_ix_of_france;child;john_tristan_count_of_valois;61;693;louis_ix_of_france;child;john_tristan_count_of_valois;1;3;louis_ix_of_france;child;john_tristan_count_of_valois;1;1
henry_iv_of_france;child;nicolas_henri_duke_of_orl_ans;67;700;henry_iv_of_france;child;nicolas_henri_duke_of_orl_ans;1;3;henry_iv_of_france;child;nicolas_henri_duke_of_orl_ans;1;1
alfonso_viii_of_castile;child;berengaria_of_castile;510;709;alfonso_viii_of_castile;child;berengaria_of_castile;16;470;alfonso_viii_of_castile;child;berengaria_of_castile;4;2
louis_dauphin_of_france_son_of_louis_xv;child;charles_x;132;748;louis_dauphin_of_france_son_of_louis_xv;child;charles_x;2;3;louis_dauphin_of_france_son_of_louis_xv;child;charles_x;1;1
princess_augusta_of_saxe_gotha;child;prince_william_henry_duke_of_gloucester_and_edinburgh;68;785;princess_augusta_of_saxe_gotha;child;prince_william_henry_duke_of_gloucester_and_edinburgh;1;1;princess_augusta_of_saxe_gotha;child;prince_william_henry_duke_of_gloucester_and_edinburgh;1;1
claude_of_france;child;madeleine_of_valois;697;828;claude_of_france;child;madeleine_of_valois;1286;1385;claude_of_france;child;madeleine_of_valois;628;1760
maximilian_ii_holy_roman_emperor;child;maximilian_iii_archduke_of_austria;25;829;maximilian_ii_holy_roman_emperor;child;maximilian_iii_archduke_of_austria;1;4;maximilian_ii_holy_roman_emperor;child;maximilian_iii_archduke_of_austria;1;1
_lffl_d_wife_of_edward_the_elder;child;eadhild;173;849;_lffl_d_wife_of_edward_the_elder;child;eadhild;3;12;_lffl_d_wife_of_edward_the_elder;child;eadhild;1;2
louise_of_savoy;child;margaret_of_valois_angoul_me;656;853;louise_of_savoy;child;margaret_of_valois_angoul_me;1;4;louise_of_savoy;child;margaret_of_valois_angoul_me;1;1
benedicta_henrietta_of_the_palatinate;child;duchess_charlotte_felicitas_of_brunswic_l_neburg;1033;867;benedicta_henrietta_of_the_palatinate;child;duchess_charlotte_felicitas_of_brunswic_l_neburg;1609;1083;benedicta_henrietta_of_the_palatinate;child;duchess_charlotte_felicitas_of_brunswic_l_neburg;308;1476
edward_king_of_portugal;child;joan_of_portugal;47;869;edward_king_of_portugal;child;joan_of_portugal;1;6;edward_king_of_portugal;child;joan_of_portugal;1;1
conrad_i_of_burgundy;child;bertha_of_burgundy;529;875;conrad_i_of_burgundy;child;bertha_of_burgundy;1;2;conrad_i_of_burgundy;child;bertha_of_burgundy;1;1
elizabeth_of_bohemia_1292_1330;child;john_henry_margrave_of_moravia;289;877;elizabeth_of_bohemia_1292_1330;child;john_henry_margrave_of_moravia;4;8;elizabeth_of_bohemia_1292_1330;child;john_henry_margrave_of_moravia;2;1
margaret_of_austria_queen_of_spain;child;philip_iv_of_spain;93;906;margaret_of_austria_queen_of_spain;child;philip_iv_of_spain;4;5;margaret_of_austria_queen_of_spain;child;philip_iv_of_spain;1;1
elizabeth_of_austria_1436_1505;child;sigismund_i_the_old;157;911;elizabeth_of_austria_1436_1505;child;sigismund_i_the_old;2;914;elizabeth_of_austria_1436_1505;child;sigismund_i_the_old;13;677
rudolf_i_of_germany;child;otto_iii_duke_of_bavaria;62;925;rudolf_i_of_germany;child;otto_iii_duke_of_bavaria;525;912;rudolf_i_of_germany;child;otto_iii_duke_of_bavaria;575;2153
sophia_eleonore_of_saxony;child;anna_sophia_ii_abbess_of_quedlinburg;100;934;sophia_eleonore_of_saxony;child;anna_sophia_ii_abbess_of_quedlinburg;28;1147;sophia_eleonore_of_saxony;child;anna_sophia_ii_abbess_of_quedlinburg;62;993
eleanor_of_aragon_queen_of_portugal;child;eleanor_of_portugal_holy_roman_empress;281;938;eleanor_of_aragon_queen_of_portugal;child;eleanor_of_portugal_holy_roman_empress;1;1;eleanor_of_aragon_queen_of_portugal;child;eleanor_of_portugal_holy_roman_empress;1;1
louis_dauphin_of_france_son_of_louis_xv;child;louis_xvi;101;953;louis_dauphin_of_france_son_of_louis_xv;child;louis_xvi;1;2;louis_dauphin_of_france_son_of_louis_xv;child;louis_xvi;1;1
margaret_of_burgundy_queen_of_france;child;joan_ii_of_navarre;1196;963;margaret_of_burgundy_queen_of_france;child;joan_ii_of_navarre;7;6;margaret_of_burgundy_queen_of_france;child;joan_ii_of_navarre;3;1
anne_marie_d_orl_ans;child;marie_ad_la_de_of_savoy;105;985;anne_marie_d_orl_ans;child;marie_ad_la_de_of_savoy;2;5;anne_marie_d_orl_ans;child;marie_ad_la_de_of_savoy;1;1
matilda_of_france;child;bertha_of_burgundy;668;991;matilda_of_france;child;bertha_of_burgundy;1;2;matilda_of_france;child;bertha_of_burgundy;1;1
charlotte_of_mecklenburg_strelitz;child;princess_amelia_of_the_united_kingdom;2;1023;charlotte_of_mecklenburg_strelitz;child;princess_amelia_of_the_united_kingdom;1;4;charlotte_of_mecklenburg_strelitz;child;princess_amelia_of_the_united_kingdom;1;1
joanna_of_austria_grand_duchess_of_tuscany;child;philip_de_medici;190;1031;joanna_of_austria_grand_duchess_of_tuscany;child;philip_de_medici;3;12;joanna_of_austria_grand_duchess_of_tuscany;child;philip_de_medici;1;4
joanna_of_bourbon;child;charles_vi_of_france;411;1038;joanna_of_bourbon;child;charles_vi_of_france;1;2;joanna_of_bourbon;child;charles_vi_of_france;1;1
maria_amalia_of_saxony;child;infante_philip_duke_of_calabria;204;1063;maria_amalia_of_saxony;child;infante_philip_duke_of_calabria;669;1065;maria_amalia_of_saxony;child;infante_philip_duke_of_calabria;381;1818
henry_iii_of_england;child;beatrice_of_england;24;1085;henry_iii_of_england;child;beatrice_of_england;4;3;henry_iii_of_england;child;beatrice_of_england;1;1
theobald_ii_duke_of_lorraine;child;frederick_iv_duke_of_lorraine;726;1091;theobald_ii_duke_of_lorraine;child;frederick_iv_duke_of_lorraine;2;3;theobald_ii_duke_of_lorraine;child;frederick_iv_duke_of_lorraine;1;1
ferdinand_iv_of_castile;child;alfonso_xi_of_castile;408;1120;ferdinand_iv_of_castile;child;alfonso_xi_of_castile;2;2;ferdinand_iv_of_castile;child;alfonso_xi_of_castile;1;1
ermentrude_of_orl_ans;child;charles_the_child;259;1123;ermentrude_of_orl_ans;child;charles_the_child;408;1217;ermentrude_of_orl_ans;child;charles_the_child;895;2194
