body	head	head_coverage	std_confidence	pca_confidence	positive_examples	body_size	pca_body_size	functional_variable
?a  haswonprize  ivor_novello_awards	?a  hasmusicalrole  wordnet_guitar_103467517	0.012638638	0.47804878	0.803278689	98	205	122	?a
?a  hasmusicalrole  wordnet_bass_guitar_102804123	?a  hasmusicalrole  wordnet_guitar_103467517	0.039205571	0.826086957	0.826086957	304	368	368	?a
?b  hasneighbor  ?a	?a  hasneighbor  ?b	0.990990991	0.990990991	0.992779783	550	555	554	?b
?a  hasmusicalrole  wordnet_keyboard_103614007	?a  hasmusicalrole  wordnet_vocal_music_107282006	0.031596595	0.729166667	0.729166667	245	336	336	?a
?a  dealswith  spain	?a  dealswith  united_states	0.023041475	0.75	0.75	30	40	40	?a
?a  dealswith  india	?a  dealswith  united_states	0.02764977	0.705882353	0.705882353	36	51	51	?a
?a  dealswith  japan	?a  dealswith  united_states	0.02688172	0.813953488	0.813953488	35	43	43	?a
?a  dealswith  united_kingdom	?a  dealswith  united_states	0.02688172	0.744680851	0.744680851	35	47	47	?a
?a  dealswith  singapore	?a  dealswith  united_states	0.016897081	0.846153846	0.846153846	22	26	26	?a
?a  dealswith  netherlands	?a  dealswith  united_states	0.020737327	0.75	0.75	27	36	36	?a
?a  dealswith  china	?a  dealswith  united_states	0.074500768	0.718518519	0.718518519	97	135	135	?a
?a  islocatedin  north_america	?a  dealswith  united_states	0.016129032	0.203883495	0.807692308	21	103	26	?a
?a  imports  wordnet_food_100021265	?a  dealswith  united_states	0.016897081	0.647058824	0.733333333	22	34	30	?a
?a  imports  wordnet_fuel_114875077	?a  dealswith  united_states	0.01843318	0.666666667	0.705882353	24	36	34	?a
?a  imports  wordnet_chemical_114806838	?a  dealswith  united_states	0.033026114	0.661538462	0.704918033	43	65	61	?a
?a  exports  wordnet_coffee_bean_107929351	?a  dealswith  united_states	0.01843318	0.727272727	0.75	24	33	32	?a
?a  exports  wordnet_chemical_114806838	?a  dealswith  united_states	0.01843318	0.727272727	0.8	24	33	30	?a
?a  participatedin  korean_war	?a  dealswith  united_states	0.015360983	0.588235294	0.869565217	20	34	23	?a
?a  hasofficiallanguage  spanish_language	?a  dealswith  united_states	0.013824885	0.75	0.857142857	18	24	21	?a
?a  owns  european_space_agency	?a  dealswith  united_states	0.008448541	0.55	0.733333333	11	20	15	?a
animax  islocatedin  ?a	?a  dealswith  united_states	0.016897081	0.6875	0.814814815	22	32	27	?a
?a  dealswith  germany	?a  dealswith  china	0.046082949	0.833333333	0.833333333	60	72	72	?a
?a  dealswith  spain	?a  dealswith  china	0.021505376	0.7	0.7	28	40	40	?a
?a  dealswith  india	?a  dealswith  china	0.037634409	0.960784314	0.960784314	49	51	51	?a
